ISBN|Title|Author|Copies|Year|Publisher|Price
978-0-08-043970-9|From Charpy to Present Impact Testing|D. Francois, A. Pineau|16|2002|Elsevier|151
978-0-08-043982-2|Temperature-Fatigue Interaction|L. Remy, J. Petit|5|2002|Elsevier|226
978-0-08-043985-3|Multivariable System Identification For Process Co|Y. Zhu|5|2001|Pergamon|288
978-0-08-044017-0|Advances in Steel Structures (ICASS '02)|J.G. Teng, K.F. Chung, S.L. Chan|10|2002|Elsevier|306
978-0-08-044046-0|Computational Fluid and Solid Mechanics 2003|K.J. Bathe|5|2003|Elsevier|227
978-0-08-044050-7|MATLABï¿½ for Photomechanics- A Primer|A. Asundi|18|2002|Elsevier|117
978-0-08-044066-8|Modeling, Sensing and Control of Gas Metal Arc Wel|D.S Naidu / S. Ozcelik / K. Moore|5|2003|Elsevier Science Ltd|282
978-0-08-044076-7|ISSC 2003 - 15th International Ship and Offshore S|A.E Mansour, R.C Ertekin|9|2003|Elsevier|254
978-0-08-044080-4|Risk Assessment and Management of Repetitive Movem|Daniela Colombini|7|2002|Elsevier|337
978-0-08-044085-9|Stability of Nonlinear Shells|D. Shilkrut, E. Riks|9|2001|Elsevier|215
978-0-08-044100-9|Advances in Building Technology|M. Anson, J.M. Ko, E.S.S. Lam|8|2002|Elsevier|311
978-0-08-044101-6|Cold-Formed Tubular Members and Connections|Xiao-Ling Zhao/Greg Hancock/Tim Wilkinson|13|2005|Elsevier|211
978-0-08-044107-8|Boundary Elements: Theory and Applications|J.T. Katsikadelis|13|2002|Elsevier|182
978-0-08-044114-6|Engineering Turbulence Modelling and Experiments 5|W. Rodi / N. Fueyo|5|2002|Elsevier Science Ltd|174
978-0-08-044129-0|Biaxial/Multiaxial Fatigue and Fracture|Andrea Carpinteri, Manuel De Freitus, Andrea|15|2003|Elsevier|218
978-0-08-044147-4|Simulation Methods for ESD Protection Development|Harald Gossner / Kai Esmark / Wolfgang Stadle|14|2003|Elsevier Science Ltd|299
978-0-08-044148-1|Technology and Safety of Marine Systems|A. Pillay, J. Wang|5|2003|Elsevier|130
978-0-08-044195-5|Fracture of Polymers, Composites and Adhesives II|J. Williams, A. Pavan, Bamber Balckman|20|2003|Elsevier|214
978-0-08-044212-9|Wave Energy Conversion|John Brooke|20|2003|Elsevier|104
978-0-08-044268-6|Inverse Problems in Engineering Mechanics IV|Mana Tanaka|17|2003|Elsevier Science Ltd|266
978-0-08-044271-6|Vibration of Laminated Shells and Plates|Mohamad Qatu|8|2004|Academic Press|292
978-0-08-044312-6|Hurricane Generated Seas|Michel Ochi|20|2003|Elsevier|246
978-0-08-044348-5|Introduction to Hydrocodes|Jonas Zukas|8|2004|Elsevier|220
978-0-08-044350-8|Analysis of Turbulent Flows|Tuncer Cebeci|17|2004|Elsevier|349
978-0-08-044352-2|Dynamic fracture|K RaviChandar|5|2004|Elsevier|152
978-0-08-044371-3|Fast Multipole Methods for the Helmholtz Equation|Nail Gumerov / Ramani Duraiswami|17|2005|Elsevier|140
978-0-08-044381-2|Handbook of Offshore Engineering|Subrata Chakrabarti|10|2005|Elsevier Science|170
978-0-08-044429-1|Reliability of Large Systems|Krzysztof Kolowrocki|8|2004|Elsevier|262
978-0-08-044466-6|Environmental Ergonomics: The Ergonomics of Human|Yutaka Tochihara, Tadakatsu Ohnara|8|2005|Elsevier|166
978-0-08-044475-8|Failure Criteria in FibreReinforced-Polymer Compo|M. Hinton/P Soden/AbdulSalam Kaddour|19|2004|Elsevier|103
978-0-08-044477-2|Rotating Shell Dynamics|Hua Li, Khin-Yong Lam, Teng-Yong Ng|9|2005|Elsevier|226
978-0-08-044495-6|Corrosion of Aluminium|Christian Vargel|16|2004|Elsevier|142
978-0-08-044506-9|Computational Fluid Dynamics: Principles and Appli|Jiri Blazek|6|2005|Elsevier|242
978-0-08-044508-3|Fluids, Materials and Microgravity|Marcello Lappa|13|2004|Elsevier|216
978-0-08-044510-6|Corrosion Induced By Low-Energy Radionuclides|Gilbert Bellanger|13|2004|Elsevier|310
978-0-08-044511-3|Galvanized Steel Reinforcement in Concrete|Stephen Yeomans|6|2004|Elsevier|273
978-0-08-044538-0|Pattern Recognition in Industry|Phiroz Bhagat|8|2005|Elsevier|213
978-0-08-044544-1|Engineering Turbulence Modelling and Experiments 6|Wolfgang Rodi|13|2005|Elsevier Science Ltd|299
978-0-08-044545-8|Composite Structures, Design, Safety and Innovatio|Dr. Bjorn Backman|15|2005|Elsevier|261
978-0-08-044548-9|Design of FRP and Steel Plated RC Structures: Retr|Deric Oehlers, Rudolph Seracino|10|2004|Elsevier|164
978-0-08-044554-0|Handbook of Adhesives and Sealants, Volume 1|Phillipe Cognard|8|2005|Elsevier|282
978-0-08-044566-3|Subsea Pipelines and Risers|Yong Bai / Qiang Bai|7|2005|Elsevier Science Ltd|343
978-0-08-044584-7|Recent Developments in Applied Electrostatics|Sun Keping, Yu Kefei|15|2004|Elsevier|180
978-0-08-044606-6|The Mechanics of Constitutive Modeling|Niels Saabye Ottosen/Matti Ristinmaa|11|2005|Elsevier Science Ltd|227
978-0-08-044626-4|Fans and Ventilation: A practical guide|William Cory|13|2005|Elsevier|145
978-0-08-044636-3|Computational Plasticity in Powder Forming Process|Amir Khoei|13|2005|Elsevier|221
978-0-08-044637-0|Fourth International Conference on Advances in Ste|Z Y Shen / G.Q. Li / Y.Y. Chen / Q.L. Zhang /|10|2005|Elsevier Science Ltd|145
978-0-08-044688-2|Advances in Damage Mechanics: Metals and Metal Mat|George Voyiadjis / Peter Kattan|6|2006|Elsevier Science Ltd|116
978-0-08-044691-2|High Cycle Fatigue|Theodore Nicholas|20|2006|Elsevier Science Ltd|194
978-0-08-044708-7|Handbook of Adhesives and Sealants, Volume 2|Phillipe Cognard|9|2006|Elsevier|228
978-0-08-044731-5|Non-Rocket Space Launch and Flight|Alexander Bolonkin|13|2005|Elsevier|334
978-0-08-044888-6|Management of Industrial Cleaning Technology and P|John Durkee|16|2006|Elsevier|123
978-0-08-044924-1|Accelerated Quality and Reliability Solutions|Lev Klyatis, Eugene Klyatis|6|2006|Elsevier|110
978-0-08-044950-0|Pressure Vessel Design: The Direct Route|Josef Zeman|5|2006|Elsevier|343
978-0-12-012768-9|Digital Signal Processing Systems: Implementation|Cornelius Leondes|19|1995|Academic Press|118
978-0-12-012769-6|Multidimensional Systems: Signal Processing and Mo|Cornelius Leondes|5|1995|Academic Press|314
978-0-12-012770-2|Digital Control Systems Implementation Techniques|Cornelius Leondes|7|1995|Academic Press|316
978-0-12-012771-9|DiscreteTime Control System Analysis and Design|Cornelius Leondes|7|1995|Academic Press|117
978-0-12-012772-6|DiscreteTime Control System Implementation Techniq|Cornelius Leondes|12|1995|Academic Press|151
978-0-12-012773-3|Techniques in Discrete-Time Stochastic Control Sys|Cornelius Leondes|20|1995|Academic Press|203
978-0-12-012774-0|Techniques in Discrete and Continuous Robust Syste|Cornelius Leondes|12|1996|Academic Press|239
978-0-12-012775-7|Computer Techniques and Algorithms in Digital Sign|Cornelius Leondes|12|1996|Academic Press|297
978-0-12-012776-4|Stochastic Digital Control System Techniques|Cornelius Leondes|11|1996|Academic Press|178
978-0-12-012777-1|Multidimensional Systems Signal Processing Algorit|Cornelius Leondes|8|1996|Academic Press|206
978-0-12-012778-8|Digital Control and Signal Processing Systems and|Cornelius Leondes|19|1996|Academic Press|248
978-0-12-012779-5|Digital Control Systems Implementation and Computa|Cornelius Leondes|18|1996|Academic Press|154
978-0-12-044506-6|Raman Amplification in Fiber Optical Communication|Clifford Headley, Govind Agrawal|14|2005|Academic Press|288
978-0-12-045144-9|Applications of Nonlinear Fiber Optics|Govind Agrawal|15|2001|Academic Press|205
978-0-12-047141-6|Multiresolution Signal Decomposition: Transforms,|Ali N. Akansu, Paul R. Haddad|18|2001|Academic Press|345
978-0-12-047144-7|Data Hiding Fundamentals and Applications: Content|Husrev T. Sencar, Mahalingam Ramkumar, Ali N.|19|2004|Academic Press|192
978-0-12-053079-3|Video Coding for Mobile Communications: Efficiency|Mohammed Al-Mualla, C. Nishan Canagarajah, Da|9|2003|Academic Press|274
978-0-12-058661-5|Troubleshooting Optical Fiber Networks: Understand|Duwayne Anderson, Larry Johnson, Florian G. B|19|2004|Academic Press|337
978-0-12-059475-7|Practical Process Research & Development|Neal G. Anderson|7|2000|Academic Press|168
978-0-12-064155-0|Introduction to Optimum Design|Jasbir Arora|6|2004|Academic Press|298
978-0-12-068377-2|Data Acquisition Techniques Using PCs|Howard Austerlitz|14|2003|Academic Press|320
978-0-12-077460-9|Acoustic Wave Sensors|D. Ballantine / Robert White / S. Martin / An|11|1997|Academic Press|264
978-0-12-077790-7|Handbook of Medical Imaging: Processing and Analys|Isaac Bankman|17|2000|Academic Press|166
978-0-12-084590-3|Erbium-Doped Fiber Amplifiers: Fundamentals and Te|Philippe M. Becker, Anders A. Olsson, Jay R.|5|1999|Academic Press|118
978-0-12-086430-0|Handbook of Shock Waves|Gabi BenDor / Ozer Igra / Tov Elperin|9|2001|Academic Press|346
978-0-12-088405-6|Power Electronics And Motor Drives: Advances and T|Bimal K. Bose|17|2006|Academic Press|270
978-0-12-088441-4|Environmental Solutions: Environmental Problems an|Franklin J. Agardy, NelsonLeonard Nemerow|20|2005|Academic Press|292
978-0-12-088481-0|Guided Wave Optical Components and Devices|Bishnu Pal|17|2006|Academic Press|209
978-0-12-088493-3|Circuits, Signals, and Systems for Bioengineers: A|John Semmlow|19|2005|Academic Press|155
978-0-12-088501-5|Multilingual Speech Processing|Tanja Schultz, Katrin Kirchhoff|10|2006|Academic Press|236
978-0-12-088514-5|System Requirements Analysis|Jeffrey Grady|7|2006|Academic Press|216
978-0-12-088757-6|Digital Power Electronics and Applications|Fang Lin Luo, Hong Ye, Muhammad H. Rashid|15|2005|Academic Press|343
978-0-12-088795-8|Switch-Mode Power Converters: Design and Analysis|Keng C. Wu|11|2006|Academic Press|294
978-0-12-093270-2|Hysteresis in Magnetism|Giorgio Bertotti|5|1998|Academic Press|287
978-0-12-108852-1|Getting It Right: R&D Methods for Science and Engi|Peter Bock|16|2001|Academic Press|211
978-0-12-118710-1|Computational Electromagnetism|Alain Bossavit|16|1998|Academic Press|348
978-0-12-119792-6|Handbook of Image and Video Processing|Alan Bovik|16|2005|Academic Press|116
978-0-12-121682-5|Nonlinear Optics|Robert W. Boyd|7|2003|Academic Press|238
978-0-12-121851-5|Systems Analysis and Modeling: A Macro-to-Micro Ap|Donald W. Boyd|15|2001|Academic Press|207
978-0-12-133570-0|Optical Coherence Tomography: Principles and Appli|Mark E. Brezinski|15|2006|Academic Press|292
978-0-12-134130-5|Cracks and Fracture|K. Bertram Broberg|11|1999|Academic Press|343
978-0-12-140310-2|Insights Into Mobile Multimedia Communications|David R. Bull, C. Nishan Canagarajah, Andrew|10|1999|Academic Press|107
978-0-12-168030-5|Symbolic Projection for Image Information Retrieva|Shi-Kuo Chang, Erland Jungert, Richard Green,|14|1996|Academic Press|225
978-0-12-170960-0|The Electrical Engineering Handbook|Wai Kai Chen, Irwin J. David|6|2005|Academic Press|156
978-0-12-171408-6|Undersea Fiber Communication Systems|Jose Chesnoy, Govind Agrawal, Ivan P. Kaminow|10|2002|Academic Press|310
978-0-12-174231-7|Direct-Write Technologies for Rapid Prototyping: A|Alberto Pique, Douglas B. Chrisey|7|2002|Academic Press|131
978-0-12-179190-2|Control Theory and Design: An RH2 and RH Viewpoint|Patrizio Colaneri, Jose C. Geromel, Arturo Lo|9|1997|Academic Press|295
978-0-12-186030-1|Trends in Optics|Anna Consortini|9|1996|Academic Press|251
978-0-12-186031-8|Numerical Methods in Biomedical Engineering|Stanley Dunn, Alkis Constantinides, Prabhas M|8|2006|Academic Press|330
978-0-12-189710-9|Transmission Lines and Lumped Circuits: Fundamenta|Giovanni Miano, Antonio Maffucci|5|2001|Academic Press|319
978-0-12-203590-6|Numerical Methods for Linear Control Systems|Biswa Datta|12|2003|Academic Press|177
978-0-12-207891-0|Handbook of Fiber Optic Data Communication|Casimer DeCusatis|6|2002|Academic Press|337
978-0-12-207892-7|Fiber Optic Data Communication: Technology Advance|Casimer DeCusatis|9|2002|Academic Press|309
978-0-12-208431-7|Fiber Optic Essentials|Casimer DeCusatis, Carolyn J. Sher DeCusatis|18|2006|Academic Press|125
978-0-12-221090-7|Technology, Humans, and Society:: Toward a Sustain|Richard C. Dorf|18|2001|Academic Press|232
978-0-12-221440-0|A Unified Approach to the Finite Element Method an|Julian A. T. Dow|15|1999|Academic Press|194
978-0-12-222695-3|Tunable Lasers Handbook|Frank J. Duarte|14|1995|Academic Press|339
978-0-12-222696-0|Tunable Laser Optics|Frank J. Duarte|19|2003|Academic Press|305
978-0-12-225261-7|WDM Technologies: Active Optical Components|Masahiko Fujiwara, Niloy K. Dutta, Achyut K.|15|2002|Academic Press|148
978-0-12-225262-4|WDM Technologies: Passive Optical Components|Achyut K. Dutta, Niloy K. Dutta, Masahiko Fuj|13|2003|Academic Press|143
978-0-12-225263-1|WDM Technologies: Optical Networks|Achyut K. Dutta, Niloy K. Dutta, Masahiko Fuj|14|2004|Academic Press|116
978-0-12-226570-9|Clinical Engineering Handbook|Joseph Dyro|9|2004|Academic Press|337
978-0-12-236542-3|Voice, Video, and Data Network Convergence: Archit|Juanita Ellis, Charles Pursell, Joy Rahman|15|2003|Academic Press|249
978-0-12-236845-5|Pollution Prevention through Process Integration:|Mahmoud M. ElHalwagi|13|1997|Academic Press|229
978-0-12-237085-4|Signal Processing for Active Control|Stephen Elliott|5|2001|Academic Press|309
978-0-12-237461-6|Control System Design Guide: Using Your Computer t|George Ellis|13|2004|Academic Press|144
978-0-12-237472-2|Observers in Control Systems|George Ellis|9|2002|Academic Press|139
978-0-12-240570-9|Practical Guide to Occupational Health and Safety|Paul Erickson|5|1996|Academic Press|207
978-0-12-247665-5|Foundations of Engineering Acoustics|Frank J. Fahy|6|2001|Academic Press|144
978-0-12-257251-7|Characterization and Measurement of Magnetic Mater|Fausto Fiorillo / Isaak Mayergoyz|10|2004|Academic Press|287
978-0-12-261912-0|Introduction to Chemical Engineering Analysis Usin|Henry C. Foley|19|2003|Academic Press|276
978-0-12-262942-6|Advanced Array Systems, Applications and RF Techno|Nicholas Fourikis|17|2000|Academic Press|130
978-0-12-269440-0|Active Control of Vibration|Christopher C. Fuller / S.J. Elliott / P.A. N|5|1996|Academic Press|114
978-0-12-269951-1|Permanent Magnet and Electromechanical Devices: Ma|Edward P. Furlani|16|2001|Academic Press|209
978-0-12-281845-5|Control in Robotics and Automation|Bijoy K. Ghosh, T. J. Tarn, Ning Xi|5|1999|Academic Press|302
978-0-12-282160-8|Multimedia Communications: Directions and Innovati|Jerry D. Gibson|11|2001|Academic Press|257
978-0-12-285852-9|Combustion|Irvin Glassman|9|1996|Academic Press|194
978-0-12-289676-7|Industrial Ventilation Design Guidebook|Howard D. Goodfellow, Esko Tahti|6|2001|Academic Press|133
978-0-12-294151-1|Supply Chain Design and Management: Strategic and|Manish Govil, Jean-Marie Proth|20|2003|Academic Press|212
978-0-12-303260-7|Bioimpedance and Bioelectricity Basics|Sverre Grimnes, Orjan G Martinsen|8|2000|Academic Press|130
978-0-12-310675-9|Low Temperature Electronics: Physics, Devices, Cir|Edmundo A. Gutierrez-D, Jamal Deen, Cor Claey|20|2001|Academic Press|222
978-0-12-311630-7|Optical Interferometry|P. Hariharan|11|2003|Academic Press|240
978-0-12-318860-1|Quantifying Sustainable Development: The Future of|Charles A.S. Hall, Patrick Van Laake, Carlos|20|2000|Academic Press|326
978-0-12-335185-2|Field Guide to Appropriate Technology|Barrett Hazeltine, Christopher Bull|10|2003|Academic Press|183
978-0-12-369387-7|A Unified Framework for Video Summarization, Brows|Ziyou Xiong, Regunathan Radhakrishnan, Ajay D|14|2006|Academic Press|239
978-0-12-369394-5|Combustion Processes in Propulsion: Control, Noise|Gabriel Roy|12|2005|Butterworth-Heinemann|311
978-0-12-369476-8|Multimedia Security Technologies for Digital Right|Wenjun Zeng, Heather Yu, ChingYung Lin|14|2006|Academic Press|186
978-0-12-369531-4|Pattern Recognition|Sergios Theodoridis, Konstantinos Koutroumbas|7|2006|Academic Press|267
978-0-12-370502-0|Essentials of Lean Six Sigma|Salman Taghizadegan|16|2006|ButterworthHeinemann|281
978-0-12-370886-1|Ventilation for Environmental Tobacco Smoke|Brian A Rock|8|2006|ButterworthHeinemann|166
978-0-12-373552-2|Info-Gap Decision Theory|Yakov Ben-Haim|14|2006|Academic Press|150
978-0-12-374695-5|Handbook of Microwave Technology|T. Koryu Ishii|12|1995|Academic Press|263
978-0-12-379777-3|Computer Vision and Applications: Concise Edition|Bernd Jahne|12|2000|Academic Press|122
978-0-12-387582-2|Visualization Handbook|Charles D. Hansen, Chris R. Johnson|19|2004|Academic Press|338
978-0-12-394850-2|Industrial Controls and Manufacturing|Edward W. Kamen|15|1999|Academic Press|319
978-0-12-395172-4|Optical Fiber Telecommunications IV-A|Kaminow, Ivan;Li, Tingye|14|2002|Academic Press|217
978-0-12-395173-1|Optical Fiber Telecommunications IV-B|Kaminow, Ivan;Li, Tingye|9|2002|Academic Press|317
978-0-12-396561-5|Dielectric Phenomena in Solids|Kwan Chi Kao|19|2004|Academic Press|189
978-0-12-396840-1|Controlling Chaos|Tomasz Kapitaniak|15|1996|Academic Press|238
978-0-12-397630-7|Semiconductor Lasers I: Fundamentals|Eli Kapon|10|1999|Academic Press|323
978-0-12-397631-4|Semiconductor Lasers II|Eli Kapon|15|1999|Academic Press|171
978-0-12-400560-0|Fiber Bragg Gratings|Raman Kashyap|11|1999|Academic Press|230
978-0-12-402772-5|Control in Power Electronics: Selected Problems|Marian P. Kazmierkowski, Ramu Krishnan, Frede|17|2003|Academic Press|279
978-0-12-408655-5|Optical Sources, Detectors, and Systems|Robert Kingston|17|1995|Academic Press|294
978-0-12-408750-7|Confocal Scanning Optical Microscopy and Related I|Gordon S. Kino, Timothy R. Corle|11|1996|Academic Press|343
978-0-12-410590-4|Optical Solitons: From Fibers to Photonic Crystals|Yuri S. Kivshar, Govind Agrawal|10|2003|Academic Press|240
978-0-12-421161-2|The E-Commerce Book|Steffano Korper, Juanita Ellis|17|2001|Morgan Kaufmann|157
978-0-12-429150-8|Magnetic Resonance Imaging|Vadim Kuperman|9|2000|Academic Press|115
978-0-12-429851-4|The UHMWPE Handbook: Ultra-High Molecular Weight P|Steven M. Kurtz|14|2004|Academic Press|327
978-0-12-437160-6|Optoelectronics for Data Communication|Ronald C. Lasky, Ulf L. Osterberg, Daniel P.|19|1995|Academic Press|161
978-0-12-437175-0|High Voltage Vacuum Insulation|Rod Latham|7|1995|Academic Press|282
978-0-12-437552-9|Bioelectrical Signal Processing in Cardiac and Neu|Leif S?rnmo, Pablo Laguna|6|2005|Academic Press|156
978-0-12-443341-0|Handbook of Materials Behavior Models|Jean LeMaitre|7|2001|Academic Press|238
978-0-12-443345-8|Ultrasound and Elastic Waves: Frequently Asked Que|Brian Michael Lempriere|12|2003|Academic Press|103
978-0-12-444165-1|Economic Risk in Hydrocarbon Exploration|Ian Lerche, John A. MacKay|9|1999|Academic Press|340
978-0-12-444816-2|Artificial Vision: Image Description, Recognition,|Stefano Levialdi, Virginio Cantoni, Vito Robe|18|1996|Academic Press|258
978-0-12-451830-8|Single and Multi-Chip Microcontroller Interfacing|G. Jack Lipovski, Jack. G Lipovski|7|1999|Academic Press|211
978-0-12-451832-2|Embedded Microcontroller Interfacing for M-COR Sys|G. Lipovski, J. Irwin|16|2000|Academic Press|332
978-0-12-451838-4|Introduction to Microcontrollers: Architecture, Pr|G. Jack Lipovski|20|2005|Academic Press|238
978-0-12-464786-2|Science and Technology of Rubber|James E. Mark, Burak Erman|13|2005|Academic Press|195
978-0-12-466606-1|A Wavelet Tour of Signal Processing|Stï¿½phane Mallat|14|1999|Academic Press|228
978-0-12-466627-6|Magneto-Resistive and Spin Valve Heads: Fundamenta|John C. Mallinson|6|2002|Academic Press|302
978-0-12-468041-8|Third Generation CDMA Systems for Enhanced Data Se|Giridhar D. Mandyam, Jersey Lai, Jerry D. Gib|16|2003|Academic Press|176
978-0-12-470505-0|Binary Digital Image Processing: A Discrete Approa|Stï¿½phane Marchand-Maillet, Yazid M. Sharaiha|18|2000|Academic Press|230
978-0-12-471352-9|Kinematic Chains and Machine Components Design|Dan B. Marghitu|17|2005|Academic Press|182
978-0-12-471370-3|Mechanical Engineer's Handbook|Dan B. Marghitu, J. David Irwin|20|2001|Academic Press|302
978-0-12-480870-6|Nonlinear Diffusion of Electromagnetic Fields|Isaak Mayergoyz|7|1998|Academic Press|208
978-0-12-480873-7|Mathematical Models of Hysteresis and their Applic|Isaak Mayergoyz|20|2003|Elsevier|225
978-0-12-480874-4|The Science of Hysteresis|Giorgio Bertotti / Isaak Mayergoyz|16|2005|Academic Press|120
978-0-12-487570-8|Fundamentals of Acoustical Oceanography|Herman Medwin / Clarence S. Clay|13|1998|Academic Press|301
978-0-12-490951-9|Practical Optics|Naftaly Menn|9|2004|Academic Press|168
978-0-12-492940-1|Elements of Space Technology|Rudolph X. Meyer|12|1999|Academic Press|210
978-0-12-493290-6|Pattern Recognition in Medical Imaging|Anke Meyer-Baese|19|2003|Academic Press|180
978-0-12-497451-7|Coal Energy Systems|Bruce G. Miller|9|2005|Academic Press|165
978-0-12-500451-0|Nonlinear Image Processing|Giovanni Sicuranza, Sanjit Mitra|8|2001|Academic Press|343
978-0-12-500453-4|Introduction to Multimedia Systems|Bhatnagar, Gaurav|11|2004|Academic Press|163
978-0-12-504190-4|Solitons in Optical Fibers: Fundamentals and Appli|Linn F. Mollenauer, James P. Gordon|14|2006|Academic Press|286
978-0-12-507751-4|Environmental Forensics: Contaminant Specific Guid|Robert D. Morrison, Brian L. Murphy|6|2005|Academic Press|305
978-0-12-511221-5|Interlayer Dielectrics for Semiconductor Technolog|Shyam P Muraka / Moshe Eizenberg / Ashok K Si|16|2003|Academic Press|324
978-0-12-524945-4|Structural Acoustics and Vibration|Roger Ohayon / Christian Soize|15|1998|Academic Press|186
978-0-12-524995-9|Engineering Materials Science|Milton Ohring|13|1995|Academic Press|199
978-0-12-525096-2|Fundamentals of Optical Waveguides|Katsunari Okamoto|18|2006|Academic Press|275
978-0-12-526420-4|Neural Networks and Pattern Recognition|Omid Omidvar, Judith Dayhoff|8|1998|Academic Press|169
978-0-12-526430-3|Neural Systems for Control|Omid Omidvar, David L. Elliott|10|1997|Academic Press|123
978-0-12-533084-8|Electronics and Communications for Scientists and|Martin Plonus|9|2001|Academic Press|219
